run_id,run_name,env_type,seed,episode_length,final_reward,reward_per_step
3eg23obr,Plunder_0_roll_0_inner_0_pct_1_max_value_seed_6_time_2026-03-31_01-59-16,Plunder,6,640.0,0.0,0.0
itbytmzv,Plunder_0_roll_0_inner_0_pct_1_max_value_seed_7_time_2026-03-31_01-59-27,Plunder,7,667.0,0.0,0.0
e1hehpbx,Plunder_0_roll_0_inner_0_pct_1_max_value_seed_8_time_2026-03-31_01-59-37,Plunder,8,654.0,0.0,0.0
0s7bmmhy,Plunder_0_roll_0_inner_0_pct_1_max_value_seed_9_time_2026-03-31_01-59-47,Plunder,9,720.0,1.0,0.001388888888888889
98rsfp0z,StarPilot_0_roll_0_inner_0_pct_1_max_value_seed_0_time_2026-03-31_01-40-02,StarPilot,0,80.0,0.0,0.0
6aeg6pjr,StarPilot_0_roll_0_inner_0_pct_1_max_value_seed_1_time_2026-03-31_01-40-10,StarPilot,1,58.0,1.0,0.017241379310344827
4h8g1c4p,StarPilot_0_roll_0_inner_0_pct_1_max_value_seed_2_time_2026-03-31_01-40-17,StarPilot,2,33.0,0.0,0.0
kxofg2u3,StarPilot_0_roll_0_inner_0_pct_1_max_value_seed_3_time_2026-03-31_01-40-25,StarPilot,3,96.0,2.0,0.020833333333333332
5w77f28l,StarPilot_0_roll_0_inner_0_pct_1_max_value_seed_4_time_2026-03-31_01-40-33,StarPilot,4,68.0,0.0,0.0
4gajzyu3,StarPilot_0_roll_0_inner_0_pct_1_max_value_seed_5_time_2026-03-31_01-40-41,StarPilot,5,53.0,0.0,0.0
9xhdt7hp,StarPilot_0_roll_0_inner_0_pct_1_max_value_seed_6_time_2026-03-31_01-40-49,StarPilot,6,44.0,0.0,0.0
8p01a3fe,StarPilot_0_roll_0_inner_0_pct_1_max_value_seed_7_time_2026-03-31_01-40-57,StarPilot,7,59.0,0.0,0.0
r1i9euv3,StarPilot_0_roll_0_inner_0_pct_1_max_value_seed_8_time_2026-03-31_01-41-05,StarPilot,8,52.0,0.0,0.0
qk1ie63r,StarPilot_0_roll_0_inner_0_pct_1_max_value_seed_9_time_2026-03-31_01-41-13,StarPilot,9,63.0,2.0,0.031746031746031744
